file,layer_name,type,priority,x,y,width,height,z_index,canvas_width,canvas_height,kv_canvas_width,kv_canvas_height,kv_x,kv_y,kv_width,kv_height,kv_z_index,is_in_kv
StarbucksChristmas_KV.psd,COPY,TEXT,2,1423,-42,569,384,4,1920,1080,1920.0,1080.0,1423.0,-42.0,569.0,384.0,4.0,1
StarbucksChristmas_KV.psd,SKUs,PRODUCT,2,1089,57,399,1206,5,1920,1080,1920.0,1080.0,1089.0,57.0,399.0,1206.0,5.0,1
Starbucks_KV.psd,BACKGROUND,BACKGROUND,-1,0,0,1920,1080,0,1920,1080,1920.0,1080.0,0.0,0.0,1920.0,1080.0,0.0,1
Starbucks_KV.psd,COPY,TEXT,2,80,355,1769,209,1,1920,1080,1920.0,1080.0,80.0,355.0,1769.0,209.0,1.0,1
Starbucks_KV.psd,SKUs,PRODUCT,2,236,-2,1198,963,2,1920,1080,1920.0,1080.0,236.0,-2.0,1198.0,963.0,2.0,1
Starbucks_KV.psd,LOGO,LOGO,0,1484,888,365,118,3,1920,1080,1920.0,1080.0,1484.0,888.0,365.0,118.0,3.0,1
Starbucks_KV.psd,LEGAL,LEGAL,3,80,919,480,87,4,1920,1080,1920.0,1080.0,80.0,919.0,480.0,87.0,4.0,1
Starbucks_KV.psd,SUB HEADING,TEXT,2,1341,596,508,208,5,1920,1080,1920.0,1080.0,1341.0,596.0,508.0,208.0,5.0,1
Trolli_KV.psd,BACKGROUND,BACKGROUND,-1,0,0,1920,1080,0,1920,1080,1920.0,1080.0,0.0,0.0,1920.0,1080.0,0.0,1
Trolli_KV.psd,SKUs,PRODUCT,2,882,64,972,1138,1,1920,1080,1920.0,1080.0,882.0,64.0,972.0,1138.0,1.0,1
Trolli_KV.psd,COPY,TEXT,2,45,106,879,337,2,1920,1080,1920.0,1080.0,45.0,106.0,879.0,337.0,2.0,1
Trolli_KV.psd,LEGAL,LEGAL,3,3,983,1023,87,3,1920,1080,1920.0,1080.0,3.0,983.0,1023.0,87.0,3.0,1
BublyPopCornersPrice_300X250.psd,BACKGROUND,BACKGROUND,-1,0,0,300,250,0,300,250,,,,,,,,0
BublyPopCornersPrice_300X250.psd,PRICE,PRICE,3,13,107,69,31,1,300,250,,,,,,,,0
BublyPopCornersPrice_300X250.psd,CTA,CTA,3,114,200,175,41,2,300,250,,,,,,,,0
BublyPopCornersPrice_300X250.psd,COPY,TEXT,2,37,8,124,45,3,300,250,,,,,,,,0
BublyPopCornersPrice_300X250.psd,SUB HEADING,TEXT,2,15,54,169,14,4,300,250,,,,,,,,0
BublyPopCornersPrice_300X250.psd,SKUs,PRODUCT,2,16,175,66,129,5,300,250,,,,,,,,0
BublyPopCornersPrice_300X250.psd,LOGO,LOGO,0,214,21,76,34,6,300,250,,,,,,,,0
BublyPopCornersPrice_300X600.psd,BACKGROUND,BACKGROUND,-1,0,0,300,600,0,300,600,,,,,,,,0
BublyPopCornersPrice_300X600.psd,COPY,TEXT,2,50,16,200,73,1,300,600,,,,,,,,0
BublyPopCornersPrice_300X600.psd,COPY,TEXT,2,52,91,195,16,2,300,600,,,,,,,,0
BublyPopCornersPrice_300X600.psd,LOGO,LOGO,0,169,159,116,52,3,300,600,,,,,,,,0
